ciudad,año,temp_media_anual,tipo
TARIJA,2002,18.8,Histórico
TARIJA,2003,18.408333333333335,Histórico
TARIJA,2004,18.233333333333334,Histórico
TARIJA,2005,17.858333333333334,Histórico
TARIJA,2006,17.849999999999998,Histórico
TARIJA,2007,17.724999999999998,Histórico
TARIJA,2008,17.22334528558715,Histórico
TARIJA,2009,17.94779121863799,Histórico
TARIJA,2010,18.216666666666665,Histórico
TARIJA,2011,18.28179435483871,Histórico
TARIJA,2012,18.95,Histórico
TARIJA,2013,18.441666666666666,Histórico
TARIJA,2014,19.058333333333334,Histórico
TARIJA,2015,19.0,Histórico
TARIJA,2016,18.308333333333334,Histórico
TARIJA,2017,19.108333333333334,Histórico
TARIJA,2018,18.441666666666666,Histórico
TARIJA,2019,18.5,Histórico
TARIJA,2020,19.255555555555556,Histórico
TARIJA,2021,17.983333333333334,Histórico
TARIJA,2022,17.72791354411825,Histórico
TARIJA,2023,18.94448245303084,Histórico
TARIJA,2024,19.51169363254856,Histórico
TARIJA,2025,18.54851151821617,Histórico
TARIJA,2026,20.818362182995823,Histórico
TARIJA,2026,17.873825,Predicción
TARIJA,2027,18.78725,Predicción
TARIJA,2028,18.821991666666666,Predicción
TARIJA,2029,18.841491666666666,Predicción
TARIJA,2030,18.863275,Predicción
TRINIDAD,1990,25.791666666666668,Histórico
TRINIDAD,1991,25.21666666666667,Histórico
TRINIDAD,1992,25.71666666666667,Histórico
TRINIDAD,1993,24.736363636363638,Histórico
TRINIDAD,1994,25.041666666666668,Histórico
TRINIDAD,1995,26.108333333333334,Histórico
TRINIDAD,1996,25.833333333333332,Histórico
TRINIDAD,1997,25.558333333333334,Histórico
TRINIDAD,1998,25.708333333333332,Histórico
TRINIDAD,1999,25.59166666666667,Histórico
TRINIDAD,2000,25.349999999999998,Histórico
TRINIDAD,2001,25.483333333333334,Histórico
TRINIDAD,2002,25.708333333333332,Histórico
TRINIDAD,2003,26.099999999999998,Histórico
TRINIDAD,2004,25.666666666666668,Histórico
TRINIDAD,2005,25.59166666666667,Histórico
TRINIDAD,2006,25.625,Histórico
TRINIDAD,2007,25.233333333333334,Histórico
TRINIDAD,2008,25.655524966011615,Histórico
TRINIDAD,2009,25.856956605222734,Histórico
TRINIDAD,2010,25.916666666666668,Histórico
TRINIDAD,2011,26.099468766001024,Histórico
TRINIDAD,2012,26.174999999999997,Histórico
TRINIDAD,2013,25.7,Histórico
TRINIDAD,2014,26.166666666666668,Histórico
TRINIDAD,2015,26.6375,Histórico
TRINIDAD,2016,26.28333333333333,Histórico
TRINIDAD,2017,26.191666666666666,Histórico
TRINIDAD,2018,25.891666666666666,Histórico
TRINIDAD,2019,26.349999999999998,Histórico
TRINIDAD,2020,26.654545454545453,Histórico
TRINIDAD,2021,26.03333333333333,Histórico
TRINIDAD,2022,26.394131144393242,Histórico
TRINIDAD,2023,27.280658247175694,Histórico
TRINIDAD,2024,27.05827002215098,Histórico
TRINIDAD,2025,26.254829816476676,Histórico
TRINIDAD,2026,27.448754320276525,Histórico
TRINIDAD,2026,26.262462499999998,Predicción
TRINIDAD,2027,26.734958333333335,Predicción
TRINIDAD,2028,26.778533333333332,Predicción
TRINIDAD,2029,26.82211666666667,Predicción
TRINIDAD,2030,26.8657,Predicción
